"","country","continent","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"1","Afghanistan","Asia",16.6881818181818,15.7780833333333,15.5376666666667,14.916,15.7709166666667,14.98,15.5955833333333,15.1061666666667,15.2165,15.25775,15.8286666666667,15.518,14.4815833333333
"2","Albania","Europe",14.9601818181818,13.6904166666667,13.5599166666667,13.6265833333333,13.2581666666667,12.7470833333333,12.9769166666667,13.8905,13.9551666666667,13.84425,13.7754166666667,13.44325,13.76825
"3","Algeria","Africa",25.1933636363636,24.7244166666667,24.263,24.3936666666667,23.916,24.2225833333333,24.2008333333333,24.0653333333333,23.95025,24.1543333333333,25.2156666666667,24.1441666666667,23.9548333333333
"4","American Samoa","Oceania",27.2033636363636,27.2275833333333,27.5379166666667,27.2648333333333,27.2811666666667,27.3735,27.08125,27.4524166666667,26.9950833333333,27.03425,27.4534166666667,27.0095,27.2014166666667
"5","Andorra","Europe",13.1334545454545,12.2160833333333,12.3195833333333,12.9006666666667,12.043,11.6434166666667,12.8343333333333,12.15525,11.9785833333333,12.5666666666667,11.4808333333333,12.9944166666667,12.3399166666667
"6","Angola","Africa",22.3723636363636,22.5029166666667,22.9255,23.0665833333333,22.5728333333333,22.9660833333333,21.9470833333333,22.4270833333333,22.2873333333333,22.3165,22.6815,22.0296666666667,22.1233333333333
"7","Anguilla","Americas",27.2440909090909,27.4085,27.53825,27.6774166666667,27.334,27.7323333333333,27.63625,27.6850833333333,27.1404166666667,27.4685833333333,27.856,27.5283333333333,27.63925
"8","Argentina","Americas",14.0830909090909,15.3704166666667,15.18375,15.5183333333333,15.4421666666667,15.1128333333333,15.5610833333333,14.6280833333333,15.476,15.5344166666667,15.0788333333333,15.3396666666667,15.689
"9","Armenia","Asia",11.1454545454545,10.4434166666667,9.605,9.42308333333333,9.72016666666667,9.73541666666667,10.0535,9.53525,9.70675,9.84208333333333,11.5095,9.136,10.35075
"10","Aruba","Americas",28.3348181818182,28.6309166666667,28.84925,28.8496666666667,28.506,28.77225,28.8046666666667,28.8228333333333,28.45025,28.832,28.9683333333333,28.5133333333333,28.6523333333333
"11","Australia","Oceania",21.2222727272727,21.79275,22.4608333333333,22.4403333333333,22.2869166666667,22.8968333333333,22.2644166666667,22.48675,22.2259166666667,22.6905833333333,22.0781666666667,21.767,22.0245
"12","Austria","Europe",9.23790909090909,7.18891666666667,7.91525,7.50933333333333,6.90608333333333,6.6095,7.27758333333333,7.9765,7.80191666666667,7.616,6.64908333333333,7.85558333333333,7.61133333333333
"13","Azerbaijan","Asia",13.7231818181818,13.09725,12.43225,11.98475,12.6195,12.68725,12.71225,12.5148333333333,12.3655,12.6116666666667,13.9626666666667,11.8086666666667,13.08675
"14","Bahamas","Americas",25.8150909090909,25.5806666666667,26.11625,26.1803333333333,25.84975,25.8016666666667,25.71575,26.03475,25.89975,25.7691666666667,25.2291666666667,26.00325,25.8164166666667
"15","Bahrain","Asia",28.0132727272727,27.431,27.2664166666667,27.3706666666667,27.15025,26.9831666666667,27.22125,27.2160833333333,27.0330833333333,27.3103333333333,28.0696666666667,27.1038333333333,27.5293333333333
"16","Bangladesh","Asia",25.7794545454545,25.337,25.3803333333333,25.2808333333333,25.3863333333333,25.532,25.7656666666667,25.34375,25.3895,25.9049166666667,25.9403333333333,25.2050833333333,25.5335833333333
"17","Barbados","Americas",27.0239090909091,27.2218333333333,27.2660833333333,27.4400833333333,27.2254166666667,27.6771666666667,27.50225,27.3664166666667,27.0038333333333,27.3203333333333,27.8446666666667,27.39525,27.3466666666667
"18","Belarus","Europe",9.02463636363636,7.09225,7.70191666666667,6.72491666666667,6.90583333333333,6.96808333333333,6.99208333333333,7.92816666666667,8.13075,7.19641666666667,7.03725,7.5885,6.83516666666667
"19","Belgium","Europe",11.7387272727273,10.5433333333333,11.03575,10.87025,10.4525833333333,10.7278333333333,11.09525,11.1455,10.5049166666667,10.6285,9.36175,11.3053333333333,10.3518333333333
"20","Belize","Americas",25.5586363636364,25.5239166666667,25.7873333333333,25.8653333333333,25.7440833333333,25.919,25.7085,25.85875,25.5246666666667,25.90775,25.5023333333333,25.84275,25.7344166666667
"21","Benin","Africa",27.6153636363636,27.6758333333333,27.8195,27.9645833333333,27.872,28.1533333333333,28.1443333333333,28.0705,27.6909166666667,28.1560833333333,28.3255833333333,28.0611666666667,27.7518333333333
"22","Bhutan","Asia",12.7266363636364,12.42575,12.1803333333333,12.2325833333333,12.2080833333333,12.4459166666667,12.854,12.6995,12.4563333333333,13.11475,12.94725,12.40025,12.27975
"23","Botswana","Africa",21.6710909090909,22.3505,22.9856666666667,23.3951666666667,22.3460833333333,23.3688333333333,21.804,22.4005,22.3111666666667,22.13975,22.7301666666667,21.9550833333333,22.4000833333333
"24","Brazil","Americas",25.155,25.5044166666667,25.8003333333333,25.621,25.4965,25.806,25.517,25.668,25.4103333333333,25.6005833333333,25.8124166666667,25.4289166666667,25.7170833333333
